"sample_id","sample_date","nh4_n","ca","mg","no3_n","k","year"
"Q3",1988-01-05,12,3.7,2.69,142,0.68,1988
"Q3",1988-01-12,9,3.6,2.55,181,0.66,1988
"Q3",1988-01-19,17,3.65,2.69,157,0.66,1988
"Q3",1988-01-26,31,4.17,3.04,157,0.72,1988
"Q3",1988-01-29,34,2.93,2.09,141,0.82,1988
"Q3",1988-02-02,15,2.93,1.96,146,0.76,1988
"Q3",1988-02-03,NA,NA,NA,NA,NA,1988
"Q3",1988-02-04,NA,NA,NA,NA,NA,1988
"Q3",1988-02-09,26,2.71,3.71,170,0.71,1988
"Q3",1988-02-10,NA,NA,NA,NA,NA,1988
"Q3",1988-02-16,16,3.84,2.65,146,0.68,1988
"Q3",1988-02-23,23,3.85,3.01,204,0.68,1988
"Q3",1988-03-01,15,3.91,3.02,196,0.67,1988
"Q3",1988-03-08,32,3.11,3,196,0.56,1988
"Q3",1988-03-15,13,3.73,1.65,215,0.11,1988
"Q3",1988-03-23,25,3.81,2.99,219,0.62,1988
"Q3",1988-03-29,31,2.49,1.78,200,0.59,1988
"Q3",1988-04-05,21,3.71,2.93,207,0.63,1988
"Q3",1988-04-12,19,3.71,2.83,210,0.61,1988
"Q3",1988-04-19,17,3.16,2.45,191,0.6,1988
"Q3",1988-04-26,27,3.8,2.96,208,0.64,1988
"Q3",1988-05-03,52,3.77,2.94,201,0.64,1988
"Q3",1988-05-10,64,3.84,3.07,224,0.66,1988
"Q3",1988-05-17,27,1.04,1.23,176,0.58,1988
"Q3",1988-05-24,74,1.15,1.33,206,0.61,1988
"Q3",1988-05-31,88,2.7,2.41,178,0.67,1988
"Q3",1988-06-07,78,3.23,2.98,206,0.74,1988
"Q3",1988-06-14,70,3.24,2.99,NA,0.7,1988
"Q3",1988-06-21,NA,2.56,2.16,NA,0.69,1988
"Q3",1988-06-28,NA,2.98,2.74,NA,0.7,1988
"Q3",1988-07-05,NA,2.98,2.79,NA,0.7,1988
"Q3",1988-07-12,NA,2.95,2.77,NA,0.67,1988
"Q3",1988-07-19,18,2.72,2.13,NA,0.55,1988
"Q3",1988-07-22,NA,2.76,2.36,NA,0.67,1988
"Q3",1988-07-26,NA,NA,NA,NA,NA,1988
"Q3",1988-08-02,19,3.19,2.93,NA,0.74,1988
"Q3",1988-08-09,5,3.13,2.96,NA,0.72,1988
"Q3",1988-08-16,77,3.15,2.89,NA,0.69,1988
