"sample_id","sample_date","nh4_n","ca","mg","no3_n","k","year"
"MPR",1989-05-16,NA,6.15,1.92,69,0.77,1989
"MPR",1989-05-23,NA,7.17,2.41,69,0.72,1989
"MPR",1989-05-30,NA,5.19,1.6,79,0.7,1989
"MPR",1989-06-06,NA,6.6,1.69,85,0.59,1989
"MPR",1989-06-13,NA,6.66,2.06,70,0.65,1989
"MPR",1989-06-20,NA,7.64,1.98,71,0.66,1989
"MPR",1989-06-27,NA,7.83,3.31,NA,0.7,1989
"MPR",1989-07-05,NA,3.17,0.82,10,0.62,1989
"MPR",1989-07-11,NA,7.94,1.85,24,0.76,1989
"MPR",1989-07-26,NA,6.95,1.5,10,0.69,1989
"MPR",1989-08-01,NA,7.08,1.66,90,0.73,1989
"MPR",1989-08-08,NA,7.4,1.85,183,0.7,1989
"MPR",1989-08-15,NA,7.43,1.87,41,0.74,1989
"MPR",1989-08-22,NA,5,1.17,114,0.61,1989
"MPR",1989-08-29,NA,4.3,NA,29,0.56,1989
"MPR",1989-09-12,NA,5.61,1.42,49,0.6,1989
"MPR",1989-10-03,NA,4.16,2.84,80,1.01,1989
"MPR",1989-10-10,NA,7.94,2.19,71,1.01,1989
"MPR",1989-10-24,NA,8.19,2.23,247,1.17,1989
"MPR",1989-11-07,NA,6.9,1.79,614,1.6,1989
"MPR",1989-11-14,NA,7.34,1.92,357,1.26,1989
"MPR",1989-11-21,NA,NA,NA,212,NA,1989
"MPR",1989-11-28,NA,10.08,2.45,170,0.91,1989
"MPR",1989-12-05,NA,10.72,2.58,10,0.84,1989
"MPR",1989-12-12,NA,4.12,3.62,6,0.44,1989
"MPR",1989-12-19,NA,NA,NA,NA,0.31,1989
"MPR",1989-12-26,NA,11.82,2.69,179,0.81,1989
"MPR",1990-01-02,NA,6.25,1.8,NA,1.74,1990
"MPR",1990-01-09,NA,10.82,2.52,113,1.01,1990
"MPR",1990-01-16,NA,10.72,2.35,99,1,1990
"MPR",1990-01-23,NA,8.7,2.14,24,1.04,1990
"MPR",1990-01-30,NA,9.27,2.11,335,0.98,1990
"MPR",1990-02-06,NA,10.95,2.33,215,1.04,1990
"MPR",1990-02-13,NA,9.39,2.35,308,1.18,1990
"MPR",1990-02-20,NA,9.05,2.2,32,1.18,1990
"MPR",1990-02-27,NA,NA,2.18,250,1.02,1990
"MPR",1990-03-06,NA,9.99,2.44,160,1.06,1990
"MPR",1990-03-13,NA,3.84,1,333,1.17,1990
"MPR",1990-03-20,NA,8.49,2.21,226,0.95,1990
"MPR",1990-03-27,NA,5.46,1.62,336,1.19,1990
"MPR",1990-04-03,NA,8.32,2.15,123,0.93,1990
"MPR",1990-04-10,NA,10.45,2.42,124,1,1990
"MPR",1990-04-17,NA,9.07,2.16,130,0.99,1990
"MPR",1990-04-24,NA,10.48,2.41,10,0.99,1990
"MPR",1990-05-01,NA,8.95,2.14,183,1.01,1990
"MPR",1990-05-08,NA,10.49,2.44,17,1.01,1990
"MPR",1990-05-15,NA,8.31,1.7,250,0.95,1990
"MPR",1990-05-22,NA,10.22,2.33,117,1,1990
"MPR",1990-05-29,NA,9.24,2.12,217,1.07,1990
"MPR",1990-06-05,NA,8.75,2.03,212,1.01,1990
"MPR",1990-06-12,NA,9.06,2.11,213,1,1990
"MPR",1990-06-19,NA,8.42,2.12,184,0.94,1990
"MPR",1990-06-26,NA,6.25,1.58,237,0.87,1990
"MPR",1990-07-03,NA,10.04,2.42,129,0.95,1990
"MPR",1990-07-10,NA,9.93,2.35,153,0.91,1990
"MPR",1990-07-17,NA,9.08,2.16,10,0.86,1990
"MPR",1990-07-24,NA,4.31,1.13,328,0.98,1990
"MPR",1990-07-31,NA,10.87,2.42,115,0.85,1990
"MPR",1990-08-07,NA,11.45,2.76,101,0.89,1990
"MPR",1990-08-14,NA,6.78,1.15,339,0.83,1990
"MPR",1990-08-21,NA,10.15,2.35,127,0.85,1990
"MPR",1990-08-28,NA,10.11,2.17,85,0.85,1990
"MPR",1990-09-04,NA,9.01,2.12,112,0.85,1990
"MPR",1990-09-11,NA,10.02,2.23,67,0.86,1990
