"sample_id","sample_date","nh4_n","ca","mg","no3_n","k","year"
"Q2",1988-01-05,18,5.01,2.57,255,0.77,1988
"Q2",1988-01-12,11,5.27,2.54,233,0.77,1988
"Q2",1988-01-19,18,5.28,2.61,221,0.74,1988
"Q2",1988-01-26,17,5.52,2.74,195,0.71,1988
"Q2",1988-01-29,12,3.45,1.5,333,1.1,1988
"Q2",1988-02-02,12,3.6,1.64,223,0.9,1988
"Q2",1988-02-03,16,5.42,2.48,282,0.91,1988
"Q2",1988-02-04,NA,NA,NA,NA,NA,1988
"Q2",1988-02-09,NA,NA,NA,NA,NA,1988
"Q2",1988-02-10,NA,NA,NA,NA,NA,1988
"Q2",1988-02-16,19,4.51,2.45,31,0.64,1988
"Q2",1988-02-23,19,5.15,2.73,231,0.82,1988
"Q2",1988-03-01,19,5.15,2.73,218,0.77,1988
"Q2",1988-03-08,27,4.91,2.56,209,0.7,1988
"Q2",1988-03-15,27,4.9,2.62,191,0.72,1988
"Q2",1988-03-23,9,1.73,1.35,139,0.82,1988
"Q2",1988-03-29,12,3.51,1.69,287,0.97,1988
"Q2",1988-04-05,NA,4.85,2.64,174,0.78,1988
"Q2",1988-04-12,NA,4.77,2.71,173,0.69,1988
"Q2",1988-04-19,23,4.05,2.16,212,0.77,1988
"Q2",1988-04-26,34,4.73,2.55,182,0.79,1988
"Q2",1988-05-03,58,4.74,2.57,164,0.81,1988
"Q2",1988-05-10,NA,NA,NA,NA,NA,1988
"Q2",1988-05-17,117,1.36,1.13,234,0.75,1988
"Q2",1988-05-24,54,4.26,2.37,213,0.67,1988
"Q2",1988-05-31,69,3.58,2.19,224,0.83,1988
"Q2",1988-06-07,71,4.36,2.63,188,0.72,1988
"Q2",1988-06-14,118,4.12,2.59,NA,0.69,1988
"Q2",1988-06-21,NA,3.48,1.88,NA,0.73,1988
"Q2",1988-06-28,NA,4.05,2.41,NA,0.71,1988
"Q2",1988-07-05,NA,3.83,2.43,NA,0.83,1988
"Q2",1988-07-12,NA,4.53,2.59,NA,0.71,1988
"Q2",1988-07-19,NA,3.36,1.84,NA,0.77,1988
"Q2",1988-07-22,NA,3.8,2.23,NA,0.81,1988
"Q2",1988-07-26,NA,3.38,1.88,NA,0.8,1988
"Q2",1988-08-02,NA,1.32,2.55,NA,0.77,1988
"Q2",1988-08-09,17,4.21,2.61,NA,0.77,1988
"Q2",1988-08-16,14,3.9,2.88,NA,0.86,1988
"Q2",1988-08-23,NA,4.35,2.53,NA,0.73,1988
"Q2",1988-08-24,NA,1.04,0.55,133,0.82,1988
"Q2",1988-08-30,NA,4.92,2.43,241,0.69,1988
